group,team_a,team_b,team_a_win,draw,team_b_win,team_a_goals_lambda,team_b_goals_lambda
F,Sweden,Tunisia,0.4623543745188014,0.24113818323396252,0.29650744224723613,1.6574296718490062,1.2817048111888045
G,Belgium,Egypt,0.5953751927772655,0.21667922288273078,0.18794558434000375,1.9451126836199353,0.9940217994178755
G,Belgium,Iran,0.443756744601909,0.24294381049689454,0.3132994449011965,1.6170267097828517,1.322107773254959
G,Belgium,New Zealand,0.7352725335179114,0.17014154705902013,0.09458591942306845,2.2660145411951698,0.6731199418426411
G,Egypt,Iran,0.2368341421462825,0.23070492656610836,0.5324609312876091,1.130470715416734,1.8086637676210768
G,Egypt,New Zealand,0.5556447712837884,0.2260387693436778,0.21831645937253374,1.858716544478069,1.0804179385597417
G,Iran,New Zealand,0.6891170904732782,0.1878556028966502,0.12302730663007158,2.1558776267944464,0.7832568562433643
H,Spain,Cape Verde,0.8938090238896673,0.08925675949602699,0.01693421661430566,2.721287939605732,0.21784654343207863
H,Spain,Saudi Arabia,0.8733780221247345,0.10170337502071958,0.024918602854545908,2.6512227430926627,0.2879117399451482
H,Spain,Uruguay,0.7174421893630765,0.17726695270585133,0.10529085793107222,2.222785705377638,0.7163487776601727
H,Cape Verde,Saudi Arabia,0.28244086968768395,0.23926267515135938,0.47829645516095665,1.2472172897586504,1.6919171932791603
H,Cape Verde,Uruguay,0.07456237447420155,0.1550283251530985,0.7704093003727,0.5848108372057763,2.3543236458320345
H,Saudi Arabia,Uruguay,0.11160143113606183,0.1811982815138716,0.7072002873500666,0.7407732426364726,2.198361240401338
I,France,Senegal,0.6850941065325625,0.18928777516852924,0.12561811829890823,2.146528139958471,0.7926063430793399
I,France,Iraq,0.8083706323543027,0.13702568547568839,0.054603682170008855,2.4557087918115084,0.4834256912263022
I,France,Norway,0.6749906743282913,0.1928066496268678,0.13220267604484098,2.1231972121717573,0.8159372708660535
I,Senegal,Iraq,0.5825389653636397,0.2198899786228274,0.19757105601353286,1.9170829266878475,1.0220515563499633
I,Senegal,Norway,0.3641045576830232,0.24574545784844587,0.39014998446853094,1.4402242947563513,1.4989101882814595
I,Iraq,Norway,0.1884784021255075,0.21686319764898868,0.5946584002255038,0.995590583312967,1.9435438997248438
J,Argentina,Algeria,0.7599488404740843,0.15967913514223472,0.08037202438368099,2.3275494384392266,0.6115850445985844
J,Argentina,Austria,0.7610848131736785,0.15918036945237676,0.0797348173739448,2.330435774681707,0.6086987083561038
J,Argentina,Jordan,0.8494716795586574,0.11540580432233515,0.035122516119007484,2.575233202357705,0.36390128068010563
J,Algeria,Austria,0.3790176426631673,0.24585885658954748,0.3751235007472853,1.473953823676111,1.4651806593616998
J,Algeria,Jordan,0.5798730383775068,0.22053450980281858,0.19959245181967458,1.9112772922280619,1.027857190809749
J,Austria,Jordan,0.5780377405645416,0.22097375653626627,0.2009885028991921,1.9072834248341206,1.0318510582036902
K,Portugal,DR Congo,0.7923195775015451,0.1448574292111789,0.062822993287276,2.411957514262179,0.5271769687756315
K,Portugal,Uzbekistan,0.6867483171268336,0.1887010245223059,0.12455065835086053,2.1503683125967954,0.7887661704410153
K,Portugal,Colombia,0.4063148067012553,0.24528764558164945,0.3483975477170953,1.5348522667904485,1.4042822162473623
K,DR Congo,Uzbekistan,0.22453348524146172,0.22768830339573698,0.5477782113628014,1.0974212407043484,1.8417132423334623
K,DR Congo,Colombia,0.07076965166938608,0.15186115636923922,0.7773691919613747,0.5667421051295047,2.372392377908306
K,Uzbekistan,Colombia,0.13949942073242286,0.1965124425449633,0.6639881367226138,0.8411174150204674,2.0980170680173433
L,England,Croatia,0.5177730306263193,0.2333532293530084,0.2488737400206724,1.7770160384039333,1.1621184446338775
L,England,Ghana,0.8649187258759578,0.10665354139614712,0.02842773272789513,2.6236760724510875,0.31545841058672314
L,England,Panama,0.7188110951032701,0.17673261858537326,0.10445628631135666,2.2260717106153827,0.7130627724224279
L,Croatia,Ghana,0.818005366770056,0.13216440152148587,0.04983023170845816,2.4826834460621967,0.4564510369756141
L,Croatia,Panama,0.6080005827110241,0.21334812919262824,0.1786512880963477,1.9728221812717,0.9663123017661108
L,Ghana,Panama,0.12828686533707695,0.19073460147626775,0.6809785331866552,0.8021353141573018,2.136999168880509
